"genus","species","sample_start_date","sample_end_date","sample_value","sample_unit","sample_sex","sample_stage","sample_location","sample_lat_dd","sample_long_dd","sample_name","species_id_method","location_description"
"Culex","pipiens",2023-10-15,2023-10-21,3,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_16382","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,50,"pool size","female","adult","Finale Emilia",44.833333,11.283333,"WN044B_16381","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,9,"pool size","female","adult","Mirandola",44.886667,11.066667,"WN043A_16380","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,10,"pool size","female","adult","Mirandola",44.886667,11.066667,"WN042A_16379","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,3,"pool size","female","adult","Bondeno",44.883333,11.416667,"WN024A_16378","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,6,"pool size","female","adult","Bondeno",44.883333,11.416667,"WN023A_16377","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,31,"pool size","female","adult","Concordia Sulla Secchia",44.916667,10.983333,"WN021B_16376","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,22,"pool size","female","adult","San Prospero",44.783333,11.016667,"WN060A_16375","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,8,"pool size","female","adult","Carpi",44.783333,10.883333,"WN059A_16374","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,14,"pool size","female","adult","Novi Di Modena",44.883333,10.9,"WN041A_16373","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,3,"pool size","female","adult","Ostellato",44.75,11.933333,"WN068A_16372","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,15,"pool size","female","adult","Ostellato",44.75,11.933333,"WN067B_16371","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,7,"pool size","female","adult","Ostellato",44.75,11.933333,"WN066A_16370","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,3,"pool size","female","adult","Ferrara",44.839167,11.6175,"WN065A_16369","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,4,"pool size","female","adult","Ferrara",44.839167,11.6175,"WN047B_16368","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,13,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_16367","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,1,"pool size","female","adult","Nonantola",44.678056,11.042222,"WN078A_16366","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,5,"pool size","female","adult","Formigine",44.607222,10.933333,"WN090A_16365","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,7,"pool size","female","adult","Modena",44.646944,10.925556,"WN077A_16364","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,2,"pool size","female","adult","Medicina",44.483333,11.633333,"WN110A_16363","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,10,"pool size","female","adult","Budrio",44.55,11.533333,"WN109A_16362","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,18,"pool size","female","adult","Molinella",44.616667,11.666667,"WN097B_16361","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,42,"pool size","female","adult","Budrio",44.55,11.533333,"WN096A_16360","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,38,"pool size","female","adult","Baricella",44.65,11.533333,"WN082B_16359","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,30,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_16358","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,32,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_16357","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,3,"pool size","female","adult","Colorno",44.933333,10.383333,"WN017A_16356","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,7,"pool size","female","adult","Roccabianca",45,10.216667,"WN016A_16355","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-15,2023-10-21,25,"pool size","female","adult","Polesine Zibello",45.016667,10.083333,"WN015A_16354","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,19,"pool size","female","adult","Ravenna",44.416111,12.201667,"WN124A_16353","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,24,"pool size","female","adult","Ravenna",44.416111,12.201667,"WN114A_16352","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,7,"pool size","female","adult","Lugo",44.416667,11.916667,"WN112A_16351","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,5,"pool size","female","adult","Argenta",44.615278,11.833333,"WN101A_16350","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,18,"pool size","female","adult","Argenta",44.615278,11.833333,"WN085A_16349","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,1,"pool size","female","adult","Argenta",44.615278,11.833333,"WN083A_16348","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,7,"pool size","female","adult","Poggio Renatico",44.766667,11.5,"WN064A_16347","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,3,"pool size","female","adult","San Martino In Rio",44.733333,10.783333,"WN076A_16346","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,5,"pool size","female","adult","Montecchio Emilia",44.683333,10.433333,"WN074A_16345","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,13,"pool size","female","adult","Bagnolo In Piano",44.766667,10.683333,"WN057A_16344","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,22,"pool size","female","adult","Gattatico",44.8,10.466667,"WN056A_16343","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,33,"pool size","female","adult","Fabbrico",44.866667,10.8,"WN040A_16342","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,17,"pool size","female","adult","Novellara",44.85,10.733333,"WN039A_16341","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,8,"pool size","female","adult","Brescello",44.9,10.516667,"WN038A_16340","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,25,"pool size","female","adult","Luzzara",44.966667,10.683333,"WN019A_16339","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,5,"pool size","female","adult","Goro",44.85,12.3,"WN052A_16338","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,6,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_16337","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,4,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_16336","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,4,"pool size","female","adult","Copparo",44.9,11.833333,"WN048A_16335","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,20,"pool size","female","adult","Mesola",44.916667,12.233333,"WN030A_16334","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,20,"pool size","female","adult","Berra",44.983333,11.966667,"WN029A_16333","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,3,"pool size","female","adult","Berra",44.983333,11.966667,"WN028A_16332","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,12,"pool size","female","adult","Ro",44.933333,11.75,"WN027A_16331","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,3,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA02_16330","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,7,"pool size","female","adult","Bologna",44.493889,11.342778,"WN108A_16329","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,26,"pool size","female","adult","San Pietro In Casale",44.7,11.4,"BONORD14_16328","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,16,"pool size","female","adult","Anzola Emilia",44.547222,11.195556,"BONORD09_16327","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,24,"pool size","female","adult","Sala Bolognese",44.616667,11.25,"BONORD07_16326","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,28,"pool size","female","adult","Crevalcore",44.716667,11.15,"BONORD02_16325","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,3,"pool size","female","adult","Crevalcore",44.716667,11.15,"BONORD01_16324","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,20,"pool size","female","adult","Cortemaggiore",45,9.933333,"WN014A_16323","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,30,"pool size","female","adult","Cadeo",44.966667,9.833333,"WN013A_16322","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,48,"pool size","female","adult","Castelvetro Piacentino",45.1,9.983333,"WN006A_16321","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,3,"pool size","female","adult","Caorso",45.05,9.866667,"WN005A_16320","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,15,"pool size","female","adult","Piacenza",45.047778,9.700556,"WN004A_16319","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-08,2023-10-14,10,"pool size","female","adult","Calendasco",45.083333,9.6,"WN003A_16318","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,8,"pool size","female","adult","Terre Del Reno",44.808124,11.405098,"WN063A_16317","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,4,"pool size","female","adult","Bondeno",44.883333,11.416667,"WN045A_16316","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,200,"pool size","female","adult","Finale Emilia",44.833333,11.283333,"WN044B_16315","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,6,"pool size","female","adult","Mirandola",44.886667,11.066667,"WN042A_16314","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,5,"pool size","female","adult","Bondeno",44.883333,11.416667,"WN024A_16313","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,30,"pool size","female","adult","Bondeno",44.883333,11.416667,"WN023A_16312","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,29,"pool size","female","adult","Concordia Sulla Secchia",44.916667,10.983333,"WN021B_16311","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,6,"pool size","female","adult","Ostellato",44.75,11.933333,"WN068A_16310","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,72,"pool size","female","adult","Ostellato",44.75,11.933333,"WN067B_16309","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,2,"pool size","female","adult","Ferrara",44.839167,11.6175,"WN065A_16308","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,1,"pool size","female","adult","Ferrara",44.839167,11.6175,"WN047B_16307","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,2,"pool size","female","adult","Comacchio",44.7,12.183333,"COMA10_16306","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,11,"pool size","female","adult","Modena",44.646944,10.925556,"WN077A_16305","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,20,"pool size","female","adult","Formigine",44.607222,10.933333,"WN090A_16304","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,22,"pool size","female","adult","Nonantola",44.678056,11.042222,"WN078A_16303","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,7,"pool size","female","adult","San Cesario Sul Panaro",44.561389,11.033889,"WN092A_16302","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,11,"pool size","female","adult","Medicina",44.483333,11.633333,"WN110A_16301","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,30,"pool size","female","adult","Budrio",44.55,11.533333,"WN109A_16300","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,46,"pool size","female","adult","Molinella",44.616667,11.666667,"WN097B_16299","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,38,"pool size","female","adult","Budrio",44.55,11.533333,"WN096A_16298","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,121,"pool size","female","adult","Baricella",44.65,11.533333,"WN082B_16297","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,12,"pool size","female","adult","Sissa Trecasali",44.9602,10.2616,"WN036A_16296","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,26,"pool size","female","adult","Soragna",44.933333,10.116667,"WN035A_16295","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,4,"pool size","female","adult","Colorno",44.933333,10.383333,"WN017A_16294","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,15,"pool size","female","adult","Roccabianca",45,10.216667,"WN016A_16293","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,20,"pool size","female","adult","Polesine Zibello",45.016667,10.083333,"WN015A_16292","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,24,"pool size","female","adult","San Prospero",44.783333,11.016667,"WN060A_16291","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,9,"pool size","female","adult","Carpi",44.783333,10.883333,"WN059A_16290","morphological","Emilia-Romagna"
"Culex","pipiens",2023-10-01,2023-10-07,4,"pool size","female","adult","Novi Di Modena",44.883333,10.9,"WN041A_16289","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,27,"pool size","female","adult","Ravenna",44.416111,12.201667,"WN124A_16288","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,63,"pool size","female","adult","Ravenna",44.416111,12.201667,"WN114A_16287","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,11,"pool size","female","adult","Lugo",44.416667,11.916667,"WN112A_16286","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,123,"pool size","female","adult","Argenta",44.615278,11.833333,"WN101A_16285","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,12,"pool size","female","adult","Argenta",44.615278,11.833333,"WN099A_16284","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,17,"pool size","female","adult","Argenta",44.615278,11.833333,"WN085A_16283","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,4,"pool size","female","adult","Argenta",44.615278,11.833333,"WN083A_16282","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,19,"pool size","female","adult","Poggio Renatico",44.766667,11.5,"WN064A_16281","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,2,"pool size","female","adult","San Martino In Rio",44.733333,10.783333,"WN076A_16280","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,2,"pool size","female","adult","Montecchio Emilia",44.683333,10.433333,"WN074A_16279","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,26,"pool size","female","adult","Bagnolo In Piano",44.766667,10.683333,"WN057A_16278","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,49,"pool size","female","adult","Gattatico",44.8,10.466667,"WN056A_16277","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,24,"pool size","female","adult","Fabbrico",44.866667,10.8,"WN040A_16276","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,20,"pool size","female","adult","Novellara",44.85,10.733333,"WN039A_16275","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,46,"pool size","female","adult","Brescello",44.9,10.516667,"WN038A_16274","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,25,"pool size","female","adult","Luzzara",44.966667,10.683333,"WN019A_16273","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,1,"pool size","female","adult","Goro",44.85,12.3,"WN052A_16272","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,105,"pool size","female","adult","Fiscaglia",44.270833,11.934722,"WN050A_16271","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,6,"pool size","female","adult","Jolanda Di Savoia",44.883333,11.983333,"WN049A_16270","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,14,"pool size","female","adult","Copparo",44.9,11.833333,"WN048A_16269","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,99,"pool size","female","adult","Mesola",44.916667,12.233333,"WN030A_16268","morphological","Emilia-Romagna"
"Culex","pipiens",2023-09-24,2023-09-30,6,"pool size","female","adult","Berra",44.983333,11.966667,"WN029A_16267","morphological","Emilia-Romagna"
