genus,species,sample_start_date,sample_end_date,month,sample_value,sample_unit,sample_sex,sample_stage,sample_location,sample_lat_dd,sample_long_dd,sample_name,species_id_method,location_description
Culex,pipiens,10/15/2023,10/21/2023,Oct,3,pool size,female,adult,Terre Del Reno,44.808124,11.405098,WN063A_16382,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,50,pool size,female,adult,Finale Emilia,44.833333,11.283333,WN044B_16381,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,9,pool size,female,adult,Mirandola,44.886667,11.066667,WN043A_16380,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,10,pool size,female,adult,Mirandola,44.886667,11.066667,WN042A_16379,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,3,pool size,female,adult,Bondeno,44.883333,11.416667,WN024A_16378,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,6,pool size,female,adult,Bondeno,44.883333,11.416667,WN023A_16377,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,31,pool size,female,adult,Concordia Sulla Secchia,44.916667,10.983333,WN021B_16376,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,22,pool size,female,adult,San Prospero,44.783333,11.016667,WN060A_16375,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,8,pool size,female,adult,Carpi,44.783333,10.883333,WN059A_16374,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,14,pool size,female,adult,Novi Di Modena,44.883333,10.9,WN041A_16373,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,3,pool size,female,adult,Ostellato,44.75,11.933333,WN068A_16372,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,15,pool size,female,adult,Ostellato,44.75,11.933333,WN067B_16371,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,7,pool size,female,adult,Ostellato,44.75,11.933333,WN066A_16370,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,3,pool size,female,adult,Ferrara,44.839167,11.6175,WN065A_16369,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,4,pool size,female,adult,Ferrara,44.839167,11.6175,WN047B_16368,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,13,pool size,female,adult,Comacchio,44.7,12.183333,COMA10_16367,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,1,pool size,female,adult,Nonantola,44.678056,11.042222,WN078A_16366,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,5,pool size,female,adult,Formigine,44.607222,10.933333,WN090A_16365,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,7,pool size,female,adult,Modena,44.646944,10.925556,WN077A_16364,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,2,pool size,female,adult,Medicina,44.483333,11.633333,WN110A_16363,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,10,pool size,female,adult,Budrio,44.55,11.533333,WN109A_16362,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,18,pool size,female,adult,Molinella,44.616667,11.666667,WN097B_16361,morphological,Emilia-Romagna
Culex,pipiens,10/15/2023,10/21/2023,Oct,42,pool size,female,adult,Budrio,44.55,11.533333,WN096A_16360,morphological,Emilia-Romagna
