genus,species,sample_start_date,sample_end_date,sample_value,sample_sex,sample_stage,sample_location,sample_lat_dd,sample_long_dd,species_id_method,location_description
Ixodes,ricinus,5/1/2016,5/31/2016,43,female,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2016,5/31/2016,53,male,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2016,5/31/2016,1313,unknown,nymph,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2015,5/31/2015,40,female,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2015,5/31/2015,32,male,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2015,5/31/2015,1195,unknown,nymph,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2014,5/31/2014,24,female,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2014,5/31/2014,33,male,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2014,5/31/2014,750,unknown,nymph,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2013,5/31/2013,26,female,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2013,5/31/2013,24,male,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2013,5/31/2013,666,unknown,nymph,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2012,5/31/2012,53,female,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2012,5/31/2012,49,male,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2012,5/31/2012,1701,unknown,nymph,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2011,5/31/2011,33,female,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2011,5/31/2011,57,male,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2011,5/31/2011,1408,unknown,nymph,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2010,5/31/2010,84,female,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2010,5/31/2010,83,male,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2010,5/31/2010,1925,unknown,nymph,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2009,5/31/2009,99,female,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2009,5/31/2009,101,male,adult,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,5/1/2009,5/31/2009,1961,unknown,nymph,Sogn and Fjordane,61.479587,6.14059,morphological,Norway
Ixodes,ricinus,6/1/2016,8/31/2016,42,female,adult,Akershus and Østfold,59.790394,11.399015,morphological,Norway
Ixodes,ricinus,6/1/2016,8/31/2016,54,male,adult,Akershus and Østfold,59.790394,11.399015,morphological,Norway
Ixodes,ricinus,6/1/2016,8/31/2016,412,unknown,nymph,Akershus and Østfold,59.790394,11.399015,morphological,Norway
Ixodes,ricinus,6/1/2015,8/31/2015,49,female,adult,Akershus and Østfold,59.790394,11.399015,morphological,Norway
Ixodes,ricinus,6/1/2015,8/31/2015,58,male,adult,Akershus and Østfold,59.790394,11.399015,morphological,Norway
Ixodes,ricinus,6/1/2015,8/31/2015,577,unknown,nymph,Akershus and Østfold,59.790394,11.399015,morphological,Norway
Ixodes,ricinus,6/1/2014,8/31/2014,15,female,adult,Akershus and Østfold,59.790394,11.399015,morphological,Norway
Ixodes,ricinus,6/1/2014,8/31/2014,19,male,adult,Akershus and Østfold,59.790394,11.399015,morphological,Norway
Ixodes,ricinus,6/1/2014,8/31/2014,199,unknown,nymph,Akershus and Østfold,59.790394,11.399015,morphological,Norway
